Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.8,6.232451236726266,0.0498046875,973,7210,94,474,49,309,25,187,9,66,0,0
0.2,9.021890975251825,0.9287109375,73,356,52,210,7,38,0,0,0,0,0,0
0.30000000000000004,11.042999453256046,0.8525390625,151,932,61,254,18,123,3,24,0,0,0,0
0.4,14.804694010128813,0.7783203125,227,1482,83,374,28,196,5,46,0,0,0,0
0.5,7.32949006222532,0.4775390625,535,3416,229,1072,74,510,7,68,0,0,0,0
0.6000000000000001,11.611207401666181,0.2197265625,799,5786,127,624,56,376,26,206,4,37,0,0
0.7,5.117691324670588,0.142578125,878,6240,176,850,78,515,27,211,3,37,0,0
0.8,14.329535303199865,0.07421875,948,7068,78,388,38,235,19,133,7,51,1,9
0.2,13.00733991513637,0.9580078125,43,230,28,120,5,32,0,0,0,0,0,0
0.30000000000000004,5.889678437186191,0.884765625,118,542,82,290,12,71,0,0,0,0,0,0
0.4,11.751958146230702,0.7177734375,289,1906,106,488,37,262,6,59,0,0,0,0
0.5,8.644306782922104,0.5107421875,501,3292,171,802,74,463,9,88,0,0,0,0
0.6000000000000001,10.17841736714961,0.345703125,670,4664,160,730,66,423,18,163,2,24,0,0
0.7,12.069480277611461,0.0537109375,969,7354,33,152,24,124,12,75,7,44,2,10
0.8,7.247778467560528,0.0419921875,981,7332,63,318,34,211,20,131,8,56,1,9
0.2,11.466836906815466,0.9306640625,71,430,32,130,9,59,1,12,0,0,0,0
0.30000000000000004,10.000193030038963,0.900390625,102,568,57,232,11,72,1,10,0,0,0,0
0.4,14.306675989464607,0.7412109375,265,1734,100,448,35,229,5,58,0,0,0,0
0.5,6.24256935707761,0.470703125,542,3370,263,1228,77,556,4,36,0,0,0,0
0.6000000000000001,10.784716932740537,0.1767578125,843,6102,132,680,69,443,30,210,3,21,0,0
0.7,7.897184788990855,0.1474609375,873,6298,126,596,57,351,20,149,7,65,0,0
0.8,11.024032590757692,0.080078125,942,6976,54,220,28,147,11,75,6,43,2,11
0.2,6.222119641476268,0.9365234375,65,282,56,218,3,19,0,0,0,0,0,0
