368,58772.5460079,58772.5716531
323,58829.0320679,58829.053456
365,58881.061061,58881.0841595
375,58943.2333077,58943.2571327
334,59013.2448287,59013.2686978
365,59079.68527,59079.7022354
2838,59314.4792884,59314.5116094
361,59565.8264063,59565.856435
348,59641.4133044,59641.4428317
363,59711.264799,59711.2932222
352,59786.1980984,59786.2274637
353,59856.8902885,59856.9175787
381,59930.9302314,59930.9595519
363,60000.0665683,60000.096055
3583,60079.7076503,60079.7349342
383,60368.9160243,60368.9389719
5425,60429.9372454,60429.9594112
2287,60830.4316854,60830.4561208
385,61077.5833236,61077.617284
348,61148.4812423,61148.5122838
417,61213.7422884,61213.7722337
330,61278.1233927,61278.1463903
363,61351.4200423,61351.4590337
392,61423.1701478,61423.211727
327,61492.2274468,61492.2554914
