Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.2738534929110965,13.505630774349255,0.9580078125,43,250,22,84,3,23,1,14,0,0,0,0
0.7299600775585411,5.299661352284946,0.087890625,934,6780,151,786,73,476,23,189,6,65,0,0
0.7946907784408224,13.804940808928734,0.1259765625,895,6578,79,368,36,217,15,98,7,46,1,9
0.7124890373324728,6.129210305506504,0.0703125,952,7038,121,628,65,418,25,184,7,59,0,0
0.325192943727973,5.383658034426334,0.8603515625,143,666,98,356,15,80,0,0,0,0,0,0
0.3241396223057912,7.625888314514827,0.8642578125,139,738,85,342,18,118,0,0,0,0,0,0
0.5379019975007048,12.822286456709136,0.3759765625,639,4600,156,772,61,433,13,134,3,45,0,0
0.4414202645193589,5.842242080425764,0.61328125,396,2314,219,988,55,375,1,8,0,0,0,0
0.5843468362592406,12.064917366832717,0.3427734375,673,4788,136,660,63,407,21,172,2,15,0,0
0.35986335329923236,11.56020563992658,0.8212890625,183,1122,81,362,22,147,3,25,0,0,0,0
0.721264235815023,8.085654125568716,0.150390625,870,6254,135,610,61,378,18,138,7,65,0,0
0.6350061093459918,10.225544111832665,0.234375,784,5664,142,722,70,465,32,262,1,5,0,0
0.7104437457741826,14.011097082504778,0.2236328125,795,5770,126,642,63,408,28,189,3,20,0,0
0.2653528880087535,5.236093764631436,0.9130859375,89,368,65,218,8,34,0,0,0,0,0,0
0.5135334132018068,8.494867131909883,0.470703125,542,3526,209,1006,79,536,8,58,0,0,0,0
0.2813142368972159,8.28392989760667,0.916015625,86,462,53,208,11,80,0,0,0,0,0,0
0.2930103899415506,12.50780707064137,0.7783203125,227,1476,92,446,33,233,3,29,0,0,0,0
0.2674680950334323,13.160617482346327,0.8974609375,105,676,48,224,11,85,2,21,0,0,0,0
0.44868426619745505,10.163555621572147,0.611328125,398,2656,122,548,48,309,11,98,0,0,0,0
