Dimension,VanillaPathTime,QuadGenTime,QuadPathTime
16,8.511543273925781e-05,0.0004019737243652344,0.0008618831634521484
17,1.7881393432617188e-05,0.0005328655242919922,0.0012667179107666016
18,0.00267791748046875,0.0007417201995849609,0.0013108253479003906
19,0.004592180252075195,0.0005240440368652344,0.0012848377227783203
20,0.004504203796386719,0.0004010200500488281,0.0008599758148193359
21,0.002332925796508789,0.0005040168762207031,0.001129150390625
22,0.006864070892333984,0.0006091594696044922,0.0012440681457519531
23,0.005070924758911133,0.011606931686401367,0.012202024459838867
24,0.0019230842590332031,0.0005900859832763672,0.0013060569763183594
25,0.007289886474609375,0.0008530616760253906,0.0014531612396240234
26,0.009505033493041992,0.0007829666137695312,0.0016319751739501953
27,0.008849859237670898,0.0008409023284912109,0.0018780231475830078
28,0.0027801990509033203,0.0009598731994628906,0.0019137859344482422
29,0.006479740142822266,0.001051187515258789,0.0019183158874511719
30,0.0005779266357421875,0.0013148784637451172,0.0023975372314453125
31,0.0049228668212890625,0.0009350776672363281,0.0019731521606445312
32,0.011073112487792969,0.0019490718841552734,0.0048580169677734375
33,0.013756990432739258,0.0022079944610595703,0.0047607421875
34,0.03610539436340332,0.002027750015258789,0.005159854888916016
35,0.03481173515319824,0.002135038375854492,0.0054662227630615234
36,0.00508880615234375,0.0019230842590332031,0.00422215461730957
37,0.039816856384277344,0.0018138885498046875,0.004212141036987305
38,0.011104106903076172,0.0026519298553466797,0.005567073822021484
39,0.05953478813171387,0.0024890899658203125,0.007287025451660156
40,0.010200262069702148,0.002585887908935547,0.005610227584838867
41,0.04488801956176758,0.002485990524291992,0.005260944366455078
42,0.027196884155273438,0.0027341842651367188,0.005791425704956055
43,0.024271726608276367,0.002270221710205078,0.0050144195556640625
44,0.05553102493286133,0.002585887908935547,0.005766868591308594
45,0.06406807899475098,0.002905130386352539,0.0067670345306396484
46,0.004678010940551758,0.0037758350372314453,0.007191658020019531
47,0.00011706352233886719,0.0030679702758789062,0.006227016448974609
48,0.02119898796081543,0.003258228302001953,0.00632023811340332
49,0.007420778274536133,0.0028390884399414062,0.005825996398925781
50,0.11986184120178223,0.003885030746459961,0.008952140808105469
51,0.005593061447143555,0.0033690929412841797,0.0064542293548583984
52,0.003869771957397461,0.0028939247131347656,0.006053924560546875
53,0.07037591934204102,0.0036420822143554688,0.0067708492279052734
54,0.00813603401184082,0.003777027130126953,0.007268190383911133
55,0.044431209564208984,0.0044689178466796875,0.008423805236816406
56,0.17053985595703125,0.02423095703125,0.02930283546447754
57,0.12064385414123535,0.004187822341918945,0.008606910705566406
58,0.2399299144744873,0.0038089752197265625,0.009573698043823242
59,0.10167598724365234,0.005597114562988281,0.010377883911132812
60,0.014148950576782227,0.004635810852050781,0.008992910385131836
61,0.0019371509552001953,0.004586935043334961,0.008462190628051758
62,0.017873048782348633,0.00491786003112793,0.00964975357055664
63,0.031113147735595703,0.025126934051513672,0.02874302864074707
64,0.2032759189605713,0.008124113082885742,0.02492523193359375
65,0.3058161735534668,0.009514093399047852,0.02880120277404785
