Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.5,5.4374958070138115,0.5107421875,501,3014,243,1098,70,468,4,39,0,0,0,0
0.5,10.658241885348403,0.509765625,502,3404,160,764,66,443,12,112,0,0,0,0
0.5,9.050952828459607,0.4921875,520,3518,190,940,70,498,10,106,0,0,0,0
0.5,14.532747221359266,0.599609375,410,2724,119,514,49,302,12,102,0,0,0,0
0.5,13.77151069793467,0.375,640,4606,151,766,67,465,20,183,1,17,0,0
0.5,12.572461956312177,0.3935546875,621,4422,156,806,67,474,22,186,0,0,0,0
0.5,12.609750376458278,0.5390625,472,3140,154,718,54,356,13,101,0,0,0,0
0.5,13.4466006777464,0.50390625,508,3462,115,506,55,317,15,123,1,10,0,0
0.5,11.138307025343094,0.3662109375,649,4562,154,758,61,421,18,161,2,15,0,0
0.5,13.98897266007861,0.6865234375,321,2016,120,496,39,247,7,63,0,0,0,0
0.5,12.024784173179825,0.486328125,526,3698,136,666,58,392,18,161,0,0,0,0
0.5,8.910396402846612,0.4951171875,517,3434,199,956,66,475,10,103,0,0,0,0
0.5,13.772773992541733,0.4228515625,591,4196,114,552,55,348,22,173,1,17,0,0
0.5,6.019217542063046,0.4248046875,589,3794,283,1396,82,621,5,59,0,0,0,0
0.5,10.423169370746436,0.4580078125,555,3780,168,804,65,439,16,141,0,0,0,0
0.5,8.332388191159662,0.46875,544,3638,208,1004,64,462,12,125,0,0,0,0
0.5,14.938466240408006,0.3076171875,709,5116,148,746,67,457,22,187,2,32,0,0
0.5,12.432380887448556,0.4248046875,589,4112,187,934,66,484,17,168,0,0,0,0
0.5,14.579185986775597,0.3662109375,649,4764,127,668,66,444,23,201,1,15,0,0
0.5,13.145690995078532,0.439453125,574,3996,169,840,67,474,17,151,0,0,0,0
0.5,5.019384973168885,0.5283203125,483,2752,264,1112,61,406,3,34,0,0,0,0
0.5,5.54357442801826,0.5,512,3032,287,1348,67,458,2,21,0,0,0,0
0.5,6.298504609983685,0.5439453125,467,2802,227,974,56,387,6,58,0,0,0,0
0.5,11.99787095119954,0.5703125,440,3054,101,440,33,216,12,103,2,23,0,0
0.5,8.473491381583145,0.4775390625,535,3572,205,1012,74,529,9,90,0,0,0,0
0.5,9.475808166593596,0.4228515625,591,4076,180,882,69,479,17,156,0,0,0,0
0.5,12.42481302136176,0.5966796875,413,2772,131,604,46,303,8,82,1,15,0,0
0.5,12.90559710343846,0.35546875,660,4734,144,724,68,463,26,212,0,0,0,0
0.5,14.571706460300481,0.4921875,520,3528,148,682,60,386,16,135,0,0,0,0
0.5,9.859458666488118,0.4287109375,585,4074,156,754,67,454,19,168,0,0,0,0
0.5,8.144525430435827,0.466796875,546,3650,204,1022,78,549,9,86,0,0,0,0
0.5,12.928798502304982,0.34765625,668,4780,179,940,75,536,18,172,1,17,0,0
0.5,13.620076361226753,0.49609375,516,3648,132,628,48,337,12,117,2,25,0,0
0.5,9.497268486988194,0.4833984375,529,3592,184,902,59,430,14,135,0,0,0,0
0.5,5.898245306204356,0.5302734375,481,2810,256,1144,71,457,1,13,0,0,0,0
0.5,7.013611883695408,0.4814453125,531,3470,222,1084,71,506,8,82,0,0,0,0
0.5,8.289475687255898,0.4921875,520,3478,178,856,66,447,12,113,0,0,0,0
0.5,12.359123866950869,0.603515625,406,2766,130,612,48,341,11,96,0,0,0,0
