,,,,,0.155229957,,,,,,,,,,
Threshold,Resolution,Obstacle %,,3539.951662,549.5065458,291.0684794,92.93454179,15.4612286,,,,,,,
0.61350648,10.04251324,0.306640625,30.6640625,4972,814,478,163,19,0,0.163716814,16.37168142,0.096138375,0.032783588,0.0038214,0
0.426482696,9.349949547,0.579101563,57.91015625,2818,780,369,77,0,0,0.276792051,27.67920511,0.130943932,0.027324344,0,0
0.482250896,10.63098502,0.491210938,49.12109375,3568,660,338,126,9,0,0.184977578,18.49775785,0.094730942,0.035313901,0.002522422,0
0.658513504,7.525442856,0.176757813,17.67578125,6056,928,506,171,72,0,0.15323646,15.32364597,0.083553501,0.02823646,0.011889036,0
0.546874773,14.97009838,0.334960938,33.49609375,4852,486,308,122,52,0,0.10016488,10.01648805,0.063478978,0.02514427,0.01071723,0
0.312921241,12.71952488,0.766601563,76.66015625,1578,444,253,22,0,0,0.281368821,28.13688213,0.160329531,0.013941698,0,0
0.446290969,14.63113138,0.602539063,60.25390625,2766,672,352,95,0,0,0.242950108,24.29501085,0.127259581,0.034345625,0,0
0.323839205,7.013857635,0.879882813,87.98828125,602,288,89,0,0,0,0.478405316,47.84053156,0.147840532,0,0,0
0.489431982,11.74649985,0.549804688,54.98046875,3102,736,384,98,0,0,0.23726628,23.72662798,0.123791103,0.031592521,0,0
0.310781682,9.53983268,0.794921875,79.4921875,1352,434,205,39,0,0,0.321005917,32.10059172,0.151627219,0.028846154,0,0
0.560113714,9.926464165,0.33984375,33.984375,4728,862,526,185,0,0,0.182318105,18.23181049,0.111252115,0.039128596,0,0
0.400509249,6.725716316,0.752929688,75.29296875,1456,570,238,5,0,0,0.391483516,39.14835165,0.163461538,0.003434066,0,0
0.427133561,14.3757367,0.661132813,66.11328125,2370,434,238,98,0,0,0.183122363,18.31223629,0.100421941,0.041350211,0,0
0.738985289,6.831229413,0.103515625,10.3515625,6710,830,541,212,40,0,0.123695976,12.36959762,0.080625931,0.031594635,0.005961252,0
0.282454476,8.288626598,0.821289063,82.12890625,1018,452,170,0,0,0,0.444007859,44.40078585,0.166994106,0,0,0
0.24987128,7.314274867,0.94921875,94.921875,222,138,22,0,0,0,0.621621622,62.16216216,0.099099099,0,0,0
0.499514302,10.93196992,0.526367188,52.63671875,3292,528,329,136,0,0,0.160388821,16.03888214,0.099939247,0.041312272,0,0
0.470297912,7.637441929,0.602539063,60.25390625,2544,774,361,54,0,0,0.304245283,30.4245283,0.141902516,0.021226415,0,0
0.664378903,7.627941998,0.244140625,24.4140625,5360,836,417,163,60,0,0.155970149,15.59701493,0.077798507,0.030410448,0.01119403,0
0.300676238,14.24210388,0.875,87.5,790,304,76,40,0,0,0.384810127,38.48101266,0.096202532,0.050632911,0,0
0.780199763,9.131069678,0.02734375,2.734375,7524,280,206,141,28,12,0.037214248,3.721424774,0.027379054,0.018740032,0.003721425,0.001594896
0.32782145,11.30049167,0.831054688,83.10546875,1058,310,134,24,0,0,0.293005671,29.30056711,0.126654064,0.02268431,0,0
0.408540346,13.71840271,0.698242188,69.82421875,2106,478,254,77,0,0,0.22697056,22.69705603,0.120607787,0.036562203,0,0
0.225065748,10.26076338,0.9296875,92.96875,420,148,77,0,0,0,0.352380952,35.23809524,0.183333333,0,0,0
0.75703757,7.192132189,0.081054688,8.10546875,6922,746,473,210,58,0,0.10777232,10.77723201,0.068332852,0.030338053,0.008379081,0
0.529803792,5.162031178,0.401367188,40.13671875,3790,1478,602,35,0,0,0.389973615,38.99736148,0.15883905,0.009234828,0,0
