Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.44459849980770594,9.323371920484224,0.6611328125,347,2302,140,670,45,329,6,67,0,0,0,0
0.5166238507626224,10.496324701178931,0.431640625,582,4000,147,680,65,423,20,160,0,0,0,0
0.6307694354332746,13.191711446435013,0.1474609375,873,6438,126,672,73,476,32,242,3,27,0,0
0.6907397909449129,13.473258606680885,0.1884765625,831,5996,111,534,52,321,23,156,6,41,0,0
0.36647152626911983,12.502214602268852,0.7646484375,241,1562,100,472,35,245,3,36,0,0,0,0
0.3807105309623891,6.216301001150246,0.74609375,260,1356,164,678,32,187,0,0,0,0,0,0
0.4482838983338181,9.467922796066574,0.572265625,438,2868,174,822,60,430,7,76,0,0,0,0
0.5127723133520685,6.524148178682211,0.486328125,526,3340,214,958,68,451,9,79,0,0,0,0
0.32722397810123327,9.614765142268183,0.84765625,156,928,84,370,20,140,1,12,0,0,0,0
0.2393854169632894,9.237090021627328,0.8916015625,111,660,60,278,17,118,0,0,0,0,0,0
0.3793326191316405,9.214363384903411,0.806640625,198,1128,102,410,28,167,1,12,0,0,0,0
0.7463879179847628,12.015187573011259,0.123046875,898,6568,100,476,46,280,23,156,8,52,0,0
0.7931090719348068,11.36142708457642,0.0810546875,941,7020,71,324,34,207,16,118,8,72,1,15
0.7374775686610591,9.070720091827088,0.068359375,954,7100,78,386,48,283,25,166,5,41,1,8
0.5935527126511018,13.98822882504861,0.337890625,678,4858,114,554,56,354,25,187,2,17,0,0
0.3383960418396782,7.5417789266186475,0.84765625,156,846,102,438,18,125,0,0,0,0,0,0
0.6615471907548744,11.2332872670248,0.1708984375,849,6274,102,520,53,343,25,186,6,52,0,0
0.7570241017445165,9.949468756527082,0.05078125,972,7286,81,416,53,326,29,204,8,64,0,0
0.21763784278703469,10.4782964077698,1.0,0,0,0,0,0,0,0,0,0,0,0,0
0.643982370123346,9.704223677444336,0.171875,848,6140,170,902,86,577,27,228,2,14,0,0
0.2055264396935035,8.433440608380842,0.951171875,50,246,38,150,4,32,0,0,0,0,0,0
0.20375140776138326,14.519250801261839,1.0,0,0,0,0,0,0,0,0,0,0,0,0
0.37391576409665345,10.849033227110155,0.76171875,244,1498,115,522,35,233,2,18,0,0,0,0
0.40856631841733315,7.908766464061708,0.693359375,314,1958,158,756,48,349,1,13,0,0,0,0
0.2619048013113947,9.665334665018992,0.8759765625,127,752,76,348,13,101,1,8,0,0,0,0
0.6351272980241722,9.521201667250452,0.19140625,828,5978,153,790,77,507,33,257,1,9,0,0
0.24569135466316755,11.07155994771711,0.970703125,30,152,18,68,4,23,0,0,0,0,0,0
0.44656025795023513,9.21968889469601,0.66796875,340,2078,157,696,45,303,4,34,0,0,0,0
0.32702941788219514,14.681128420114572,0.9384765625,63,346,30,110,7,43,1,7,0,0,0,0
0.7429284667499916,6.4418944958644495,0.095703125,926,6752,125,602,63,387,23,165,7,61,0,0
0.2556822048530861,9.911125379260236,0.9453125,56,282,35,130,7,42,0,0,0,0,0,0
0.5241829687801232,8.618660953684955,0.3935546875,621,4186,207,986,74,501,16,146,0,0,0,0
0.35205876608410047,7.640424689787551,0.853515625,150,808,90,370,20,130,0,0,0,0,0,0
0.4602782767425963,11.444171939325525,0.646484375,362,2416,110,498,32,218,9,91,1,20,0,0
